,NP_MAKESPAN,NP_C1,NP_C2,P_MAKESPAN,P_C1,P_C2,SPT_MAKESPAN,SPT_C1,SPT_C2
248,1164624.0,751387.0,1164624.0,1251330.0,750378.0,1251330.0,1158428.0,752921.0,1158428.0
249,1143604.0,745282.0,1143604.0,1145953.0,758813.0,1145953.0,1284557.0,739501.0,1284557.0
250,1123652.0,783475.0,1123652.0,1198415.0,773347.0,1198415.0,1231814.0,776104.0,1231814.0
251,1183145.0,779056.0,1183145.0,1205115.0,759338.0,1205115.0,1189769.0,770227.0,1189769.0
252,1150570.0,740948.0,1150570.0,1227433.0,741725.0,1227433.0,1335107.0,730489.0,1335107.0
253,1123033.0,723882.0,1123033.0,1219309.0,720750.0,1219309.0,1251430.0,721398.0,1251430.0
254,1131332.0,763210.0,1131332.0,1200841.0,760004.0,1200841.0,1272389.0,764503.0,1272389.0
255,1134200.0,774745.0,1134200.0,1256925.0,772012.0,1256925.0,1189384.0,769510.0,1189384.0
256,1133794.0,747218.0,1133794.0,1223626.0,740792.0,1223626.0,1257698.0,746890.0,1257698.0
257,1194827.0,772032.0,1194827.0,1267407.0,768984.0,1267407.0,1315333.0,775311.0,1315333.0
258,1131744.0,743397.0,1131744.0,1324498.0,747048.0,1324498.0,1378338.0,742176.0,1378338.0
259,1148547.0,768852.0,1148547.0,1277440.0,759135.0,1277440.0,1269594.0,760498.0,1269594.0
260,1162543.0,760910.0,1162543.0,1341345.0,762842.0,1341345.0,1276780.0,761293.0,1276780.0
261,1122973.0,766262.0,1122973.0,1228835.0,746581.0,1228835.0,1276241.0,748603.0,1276241.0
262,1116847.0,727080.0,1116847.0,1121984.0,725549.0,1121984.0,1175432.0,727351.0,1175432.0
263,1152956.0,744058.0,1152956.0,1200000.0,732496.0,1200000.0,1172494.0,739551.0,1172494.0
264,1126267.0,725364.0,1126267.0,1212402.0,723856.0,1212402.0,1134487.0,723990.0,1134487.0
265,1116208.0,717019.0,1116208.0,1227839.0,700461.0,1227839.0,1367500.0,711302.0,1367500.0
266,1096167.0,775461.0,1096167.0,1178289.0,769680.0,1178289.0,1242096.0,770739.0,1242096.0
267,1144449.0,733585.0,1144449.0,1252927.0,733491.0,1252927.0,1125944.0,731936.0,1125944.0
268,1112718.0,735798.0,1112718.0,1230050.0,728697.0,1230050.0,1323233.0,732008.0,1323233.0
269,1154704.0,757189.0,1154704.0,1187782.0,742257.0,1187782.0,1363943.0,744056.0,1363943.0
270,1131857.0,774920.0,1131857.0,1243620.0,766844.0,1243620.0,1349519.0,775712.0,1349519.0
271,1151755.0,760731.0,1151755.0,1324111.0,769923.0,1324111.0,1378012.0,759089.0,1378012.0
272,1152299.0,742545.0,1152299.0,1255939.0,742361.0,1255939.0,1195816.0,740295.0,1195816.0
273,1152538.0,764382.0,1152538.0,1326792.0,762779.0,1326792.0,1343608.0,774457.0,1343608.0
274,1144694.0,759895.0,1144694.0,1209622.0,749441.0,1209622.0,1263897.0,753954.0,1263897.0
275,1164638.0,758727.0,1164638.0,1261365.0,759977.0,1261365.0,1360924.0,763453.0,1360924.0
276,1171403.0,766508.0,1171403.0,1277641.0,761206.0,1277641.0,1302875.0,761822.0,1302875.0
277,1140374.0,761979.0,1140374.0,1285913.0,760266.0,1285913.0,1229999.0,763231.0,1229999.0
278,1172783.0,760066.0,1172783.0,1174980.0,758953.0,1174980.0,1300285.0,758971.0,1300285.0
